bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
KA04,outer,1,real fatigue pitting,N09_M07_F10,11.881698909665038,1.0,10.596551719587083,13.51831948438063,320
KA04,outer,1,real fatigue pitting,N15_M01_F10,46.09133232126534,1.0,42.99890971460714,49.22608596938585,319
KA04,outer,1,real fatigue pitting,N15_M07_F04,11.565483728145159,1.0,9.952773643174591,13.375405309338465,320
KA05,outer,1,artificial engraver,all,1.1493752517935951,0.7388584831899921,-0.038138603472744,2.477582192507961,1279
KA05,outer,1,artificial engraver,N15_M07_F10,0.896409385067033,0.75,0.0019275827368474782,1.7166347561502122,320
KA05,outer,1,artificial engraver,N09_M07_F10,-0.24177656612024068,0.4231974921630094,-1.068084648834467,1.0911497467890008,319
KA05,outer,1,artificial engraver,N15_M01_F10,0.9024252266596072,0.7962382445141066,0.1372942978177341,1.5441571709297022,319
KA05,outer,1,artificial engraver,N15_M07_F04,3.4072849901279896,0.9844236760124611,2.358408522676262,4.2343554806335195,321
KA06,outer,2,artificial engraver,all,1.0653034667590524,0.7232212666145426,-0.1969820671539385,2.329585330815816,1279
KA06,outer,2,artificial engraver,N15_M07_F10,0.7301898306513442,0.728125,-0.10767357059946754,1.6482516978395112,320
KA06,outer,2,artificial engraver,N09_M07_F10,-1.0675838019596282,0.271875,-1.8188146428615375,0.12220372971473963,320
KA06,outer,2,artificial engraver,N15_M01_F10,2.1039317989653883,0.9717868338557993,1.1797940693720204,3.2022180171174988,319
KA06,outer,2,artificial engraver,N15_M07_F04,1.9154222719473881,0.921875,1.0360093637686267,2.8873140268894244,320
KA07,outer,1,artificial drill,all,0.02161163422691925,0.5035074045206547,-0.9934799091311355,1.8476944555888817,1283
KA07,outer,1,artificial drill,N15_M07_F10,-1.0983110440809931,0.102803738317757,-1.5336813791825108,-0.5198470517100079,321
KA07,outer,1,artificial drill,N09_M07_F10,-0.441010444408405,0.38509316770186336,-1.2025507358927587,0.5051592832154449,322
KA07,outer,1,artificial drill,N15_M01_F10,0.09234473727621022,0.5295950155763239,-0.5409476140610989,0.761496663162602,321
KA07,outer,1,artificial drill,N15_M07_F04,3.827017819652702,1.0,2.5252666088222124,4.942781708334705,319
KA08,outer,2,artificial drill,all,-0.8573978524427643,0.27531645569620256,-1.6176255482505426,0.09760746572775748,1264
KA08,outer,2,artificial drill,N15_M07_F10,-1.406714937761661,0.03134796238244514,-1.8146872804491552,-0.9893559407552917,319
KA08,outer,2,artificial drill,N09_M07_F10,-1.7501070571892514,0.08125,-2.2897666563611883,-1.0420026012784913,320
KA08,outer,2,artificial drill,N15_M01_F10,-0.4437203714561019,0.2894736842105263,-0.9766541988297799,0.06479337525080801,304
KA08,outer,2,artificial drill,N15_M07_F04,0.554826943836754,0.6978193146417445,-0.18232590639000945,1.349232969623563,321
KA09,outer,2,artificial drill,all,0.6843047455938384,0.6776212832550861,-0.4589781615714584,1.7866736144798776,1278
KA09,outer,2,artificial drill,N15_M07_F10,0.34160330483851586,0.64375,-0.2324861268460902,0.935891525139506,320
KA09,outer,2,artificial drill,N09_M07_F10,-2.3870630725102475,0.21630094043887146,-2.941737170569584,-0.7369786350848921,319
KA09,outer,2,artificial drill,N15_M01_F10,1.4260333466404582,0.925,0.6131426582727995,2.5753628919781155,320
KA09,outer,2,artificial drill,N15_M07_F04,1.344459590520785,0.9247648902821317,0.6542910582880166,2.1448130136615453,319
KA15,outer,1,real indentation,all,2.2872160785158977,0.8380281690140845,0.5880116487044933,4.177298758703657,1278
KA15,outer,1,real indentation,N15_M07_F10,2.1970561246723785,0.9655172413793104,1.228113625913796,3.1963165284593855,319
KA15,outer,1,real indentation,N09_M07_F10,-0.13676050229427766,0.42946708463949845,-0.6138394044406387,0.44900832403846624,319
KA15,outer,1,real indentation,N15_M01_F10,2.389749136405017,0.9561128526645768,1.3588457688220519,3.4947284271442474,319
KA15,outer,1,real indentation,N15_M07_F04,5.234954563755414,1.0,4.109994747901967,6.491617198318108,321
KA16,outer,2,real fatigue pitting,all,23.287186919419607,1.0,14.361459691790532,40.79736405338313,1279
